"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","early.stop"
17,"OBD.titeet",50.9,28.2,13.8,5.4,1.6,
17,"MTD.tite12",1.1,26.2,41.1,20,10.7,0.86
17,"OBD.tite12",47.7,28.7,15.1,5.8,1.9,
17,"MTD.bfet",,,,,,0.3
17,"OBD.bfet",53.5,30.9,12.1,2.8,0.4,
25,"MTD.ours0",1.88,23.06,52.76,19.16,3.1,0.04
25,"OBD.ours0",15.34,20.88,51.98,6.42,0.78,
25,"MTD.bf",1.34,22.34,52.8,19.88,3.64,0
25,"OBD.bf",15.56,21.26,51.34,8.14,1.26,
25,"MTD.ours1",1.82,21.94,52.52,20.26,3.4,0.06
25,"OBD.ours1",15.44,20.04,51.76,7.4,1,
25,"MTD.ours2",1.9,21.72,53.36,19.02,3.94,0.06
25,"OBD.ours2",16.08,20.62,51.06,7.02,1.24,
25,"MTD.ours3",1.48,22.32,51.48,20.34,4.38,0
25,"OBD.ours3",15.06,20.66,50.34,8.5,1.56,
25,"MTD.titeet",1.1,20.7,55,20,3.2,2.4
25,"OBD.titeet",19,15.9,45,14,3.6,
25,"MTD.tite12",0.6,11.8,39.3,29.4,16.9,2.04
25,"OBD.tite12",18.2,18.4,43.7,13.3,4.4,
25,"MTD.bfet",,,,,,3
25,"OBD.bfet",18.1,21,48.5,8,1.3,
14,"MTD.ours0",0.02,0.34,2.68,26.5,70.46,0
14,"OBD.ours0",2.24,5.08,10.82,59.82,21.64,
14,"MTD.bf",0,0.32,2.48,27.04,70.16,0
14,"OBD.bf",2.62,4.94,10.26,59.1,22.9,
14,"MTD.ours1",0,0.38,2.8,26.04,70.78,0
14,"OBD.ours1",1.82,5.9,11.06,58.96,21.78,
14,"MTD.ours2",0,0.3,2.58,27.42,69.7,0
14,"OBD.ours2",1.98,5.4,11.52,57.78,22.82,
14,"MTD.ours3",0,0.26,2.46,26.8,70.48,0
14,"OBD.ours3",1.66,5.5,10.64,57.56,24.12,
14,"MTD.titeet",0,0.2,3.3,40.7,55.8,0.1
14,"OBD.titeet",8.4,14,14.3,43.5,19.7,
14,"MTD.tite12",0,0.2,4,19.8,75.8,0.2
14,"OBD.tite12",7.1,10.5,13.1,47.3,21.7,
14,"MTD.bfet",,,,,,0.2
14,"OBD.bfet",3.4,6.7,10.8,57.1,21.7,
19,"MTD.ours0",0.08,6.44,40,38.04,15.44,0
19,"OBD.ours0",7.3,52.7,26.84,11.1,1.92,
19,"MTD.bf",0.14,6.2,41.2,37.5,14.96,0
19,"OBD.bf",6.24,51.14,28.04,11.32,3.22,
19,"MTD.ours1",0.12,5.76,40.48,38.3,15.34,0
19,"OBD.ours1",8.02,51.7,27.02,11.1,2.1,
19,"MTD.ours2",0.14,6.3,39.62,36.96,16.98,0
19,"OBD.ours2",8.04,51.64,26.06,11.44,2.68,
