"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","EN","EN.Overdose","DLT_pts","duration"
30,"ours3.s2",0,0,0,0,0,0,-1,0,0
30,"ours3.total",8.86,12.09,11.53,8.41,4.53,45.43,-1,5.77,27.34
30,"titeet",5.2,11.4,7.4,4.1,1.9,30,-1,3.5,23.67
30,"tite12",4.1,6.7,6,5.2,3.4,25.4,-1,3.4,22.06
30,"bfet",7.09,10.99,10.76,7.89,4.59,41.32,-1,5.17,23.1
20,"ours0.s1",8.91,12.16,11.64,8.55,4.4,45.66,-1,0,33.41
20,"ours0.s2",0,0,0.17,0.5,0.47,1.14,-1,0,0.98
20,"ours0.total",8.91,12.16,11.81,9.05,4.87,46.8,-1,5.75,34.38
20,"bf.s1",7.88,12.2,12.07,8.93,4.43,45.5,-1,0,33.42
20,"bf.s2",0,0,0,0,0,0,-1,0,0
20,"bf.total",7.88,12.2,12.07,8.93,4.43,45.5,-1,5.88,33.42
20,"ours1.s1",8.86,12.07,11.4,8.32,4.62,45.26,-1,0,26.84
20,"ours1.s2",0,0.02,0.19,0.73,0.63,1.58,-1,0,1.32
20,"ours1.total",8.86,12.09,11.59,9.05,5.25,46.84,-1,5.75,28.16
20,"ours2.s1",8.88,12.04,11.37,8.24,4.48,45,-1,0,27.22
20,"ours2.s2",0,0.02,0.21,0.71,0.65,1.59,-1,0,1.28
20,"ours2.total",8.88,12.05,11.58,8.95,5.13,46.59,-1,5.75,28.5
20,"ours3.s1",8.86,12.08,11.52,8.42,4.53,45.42,-1,0,27.34
20,"ours3.s2",0,0,0,0,0,0,-1,0,0
20,"ours3.total",8.86,12.08,11.52,8.42,4.53,45.42,-1,5.76,27.34
20,"titeet",5.2,11.4,7.4,4.1,1.9,30,-1,3.5,23.67
20,"tite12",4.1,6.7,6,5.2,3.4,25.4,-1,3.4,22.06
20,"bfet",7.09,10.99,10.76,7.89,4.59,41.32,-1,5.17,23.1
50,"ours0.s1",9.02,12.21,11.64,8.53,4.34,45.74,-1,0,33.51
50,"ours0.s2",0,0.01,0.14,0.48,0.35,0.97,-1,0,0.76
50,"ours0.total",9.02,12.22,11.78,9.01,4.69,46.71,-1,5.76,34.28
50,"bf.s1",7.88,12.2,12.07,8.93,4.43,45.5,-1,0,33.42
50,"bf.s2",0,0,0,0,0,0,-1,0,0
50,"bf.total",7.88,12.2,12.07,8.93,4.43,45.5,-1,5.88,33.42
50,"ours1.s1",8.98,11.97,11.42,8.35,4.53,45.24,-1,0,26.93
50,"ours1.s2",0,0.02,0.16,0.42,0.22,0.82,-1,0,0.72
